| 184  | Malamar            |  0.01733% | 16551  |  0.534% | 12775  |  0.523% | 
| 185  | Aromatisse         |  0.01716% | 3420   |  0.110% | 2637   |  0.108% | 
| 186  | Butterfree         |  0.01594% | 9670   |  0.312% | 7174   |  0.294% | 
| 187  | Boltund            |  0.01592% | 11531  |  0.372% | 8596   |  0.352% | 
| 188  | Arctovish          |  0.01585% | 5690   |  0.184% | 4413   |  0.181% | 
| 189  | Stonjourner        |  0.01572% | 3235   |  0.104% | 2543   |  0.104% | 
| 190  | Crustle            |  0.01548% | 4970   |  0.160% | 3829   |  0.157% | 
| 191  | Turtonator         |  0.01504% | 8368   |  0.270% | 6495   |  0.266% | 
| 192  | Swoobat            |  0.01483% | 8720   |  0.281% | 6508   |  0.266% | 
| 193  | Eiscue             |  0.01471% | 11662  |  0.376% | 8272   |  0.338% | 
| 194  | Meowstic           |  0.01441% | 8923   |  0.288% | 7504   |  0.307% | 
| 195  | Silvally           |  0.01417% | 4750   |  0.153% | 3805   |  0.156% | 
| 196  | Piloswine          |  0.01405% | 2612   |  0.084% | 2192   |  0.090% | 
| 197  | Gourgeist-Small    |  0.01306% | 685    |  0.022% | 563    |  0.023% | 
| 198  | Flareon            |  0.01296% | 7346   |  0.237% | 5702   |  0.233% | 
| 199  | Alcremie           |  0.01296% | 7915   |  0.255% | 5762   |  0.236% | 
| 200  | Noctowl            |  0.01216% | 3530   |  0.114% | 2724   |  0.111% | 
| 201  | Qwilfish           |  0.01209% | 3736   |  0.121% | 3134   |  0.128% | 
| 202  | Persian-Alola      |  0.01185% | 7290   |  0.235% | 6059   |  0.248% | 
| 203  | Greedent           |  0.01179% | 4813   |  0.155% | 3482   |  0.142% | 
| 204  | Falinks            |  0.01173% | 8406   |  0.271% | 5879   |  0.241% | 
| 205  | Perrserker         |  0.01165% | 4659   |  0.150% | 3531   |  0.144% | 
| 206  | Escavalier         |  0.01124% | 8909   |  0.287% | 6958   |  0.285% | 
| 207  | Rotom-Frost        |  0.01097% | 2591   |  0.084% | 2008   |  0.082% | 
| 208  | Togedemaru         |  0.00989% | 11571  |  0.373% | 8830   |  0.361% | 
| 209  | Stunfisk-Galar     |  0.00980% | 2785   |  0.090% | 2391   |  0.098% | 
| 210  | Linoone            |  0.00935% | 11770  |  0.380% | 8474   |  0.347% | 
| 211  | Raichu             |  0.00914% | 6009   |  0.194% | 4554   |  0.186% | 
| 212  | Weezing            |  0.00902% | 4050   |  0.131% | 3272   |  0.134% | 
| 213  | Onix               |  0.00879% | 1590   |  0.051% | 1318   |  0.054% | 
| 214  | Dugtrio-Alola      |  0.00878% | 4918   |  0.159% | 3810   |  0.156% | 
| 215  | Wishiwashi         |  0.00876% | 1902   |  0.061% | 1455   |  0.060% | 
| 216  | Bulbasaur          |  0.00850% | 759    |  0.024% | 565    |  0.023% | 
| 217  | Riolu              |  0.00844% | 1306   |  0.042% | 874    |  0.036% | 
| 218  | Thievul            |  0.00844% | 3555   |  0.115% | 2602   |  0.106% | 
| 219  | Diglett            |  0.00844% | 369    |  0.012% | 291    |  0.012% | 
| 220  | Ponyta             |  0.00840% | 90     |  0.003% | 62     |  0.003% | 
| 221  | Cherubi            |  0.00840% | 16     |  0.001% | 15     |  0.001% | 
| 222  | Musharna           |  0.00805% | 3702   |  0.119% | 2723   |  0.111% | 
| 223  | Bellossom          |  0.00797% | 6265   |  0.202% | 4592   |  0.188% | 
| 224  | Dusknoir           |  0.00728% | 6034   |  0.195% | 4755   |  0.195% | 
| 225  | Klinklang          |  0.00722% | 3548   |  0.114% | 2709   |  0.111% | 
| 226  | Munchlax           |  0.00649% | 812    |  0.026% | 591    |  0.024% | 
| 227  | Trevenant          |  0.00612% | 10040  |  0.324% | 7372   |  0.302% | 
| 228  | Unfezant           |  0.00590% | 3829   |  0.124% | 2876   |  0.118% | 
| 229  | Silvally-Flying    |  0.00573% | 623    |  0.020% | 478    |  0.020% | 
| 230  | Manectric          |  0.00550% | 4706   |  0.152% | 3533   |  0.145% | 
| 231  | Seaking            |  0.00541% | 2185   |  0.070% | 1473   |  0.060% | 
| 232  | Hitmonchan         |  0.00524% | 5148   |  0.166% | 3958   |  0.162% | 
| 233  | Togetic            |  0.00519% | 2404   |  0.078% | 1870   |  0.077% | 
| 234  | Silvally-Dragon    |  0.00515% | 979    |  0.032% | 738    |  0.030% | 
| 235  | Silvally-Ground    |  0.00506% | 1713   |  0.055% | 1340   |  0.055% | 
| 236  | Drilbur            |  0.00472% | 214    |  0.007% | 181    |  0.007% | 
| 237  | Rotom              |  0.00445% | 1753   |  0.057% | 1392   |  0.057% | 
| 238  | Squirtle           |  0.00430% | 546    |  0.018% | 423    |  0.017% | 
| 239  | Corsola            |  0.00428% | 1250   |  0.040% | 946    |  0.039% | 
| 240  | Mr. Mime-Galar     |  0.00420% | 4832   |  0.156% | 3465   |  0.142% | 
| 241  | Silvally-Fighting  |  0.00411% | 396    |  0.013% | 306    |  0.013% | 
| 242  | Basculin           |  0.00403% | 1783   |  0.058% | 1354   |  0.055% | 
| 243  | Wailord            |  0.00402% | 2358   |  0.076% | 1756   |  0.072% | 
| 244  | Liepard            |  0.00393% | 6068   |  0.196% | 4676   |  0.191% | 
| 245  | Glaceon            |  0.00373% | 4924   |  0.159% | 3597   |  0.147% | 
| 246  | Silvally-Fire      |  0.00360% | 1279   |  0.041% | 987    |  0.040% | 
| 247  | Ninjask            |  0.00346% | 9731   |  0.314% | 7452   |  0.305% | 
| 248  | Throh              |  0.00321% | 2009   |  0.065% | 1543   |  0.063% | 
| 249  | Cottonee           |  0.00305% | 1381   |  0.045% | 923    |  0.038% | 
| 250  | Morgrem            |  0.00294% | 285    |  0.009% | 199    |  0.008% | 
| 251  | Silvally-Grass     |  0.00289% | 1149   |  0.037% | 898    |  0.037% | 
| 252  | Linoone-Galar      |  0.00261% | 985    |  0.032% | 866    |  0.035% | 
| 253  | Morelull           |  0.00250% | 97     |  0.003% | 67     |  0.003% | 
| 254  | Hattrem            |  0.00247% | 947    |  0.031% | 703    |  0.029% | 
| 255  | Sudowoodo          |  0.00242% | 2532   |  0.082% | 1995   |  0.082% | 
| 256  | Vespiquen          |  0.00241% | 1888   |  0.061% | 1344   |  0.055% | 
| 257  | Persian            |  0.00208% | 1850   |  0.060% | 1492   |  0.061% | 
| 258  | Type: Null         |  0.00196% | 3716   |  0.120% | 2896   |  0.118% | 
| 259  | Skuntank           |  0.00194% | 3711   |  0.120% | 2854   |  0.117% | 
| 260  | Silvally-Psychic   |  0.00190% | 185    |  0.006% | 132    |  0.005% | 
| 261  | Swirlix            |  0.00175% | 453    |  0.015% | 407    |  0.017% | 
| 262  | Silvally-Poison    |  0.00169% | 1401   |  0.045% | 1044   |  0.043% | 
| 263  | Silvally-Electric  |  0.00166% | 1176   |  0.038% | 947    |  0.039% | 
| 264  | Palpitoad          |  0.00163% | 337    |  0.011% | 299    |  0.012% | 
| 265  | Gurdurr            |  0.00153% | 981    |  0.032% | 779    |  0.032% | 
| 266  | Machoke            |  0.00150% | 442    |  0.014% | 352    |  0.014% | 
| 267  | Mr. Mime           |  0.00144% | 2938   |  0.095% | 2289   |  0.094% | 
| 268  | Timburr            |  0.00142% | 178    |  0.006% | 123    |  0.005% | 
| 269  | Carkol             |  0.00142% | 567    |  0.018% | 513    |  0.021% | 
| 270  | Heatmor            |  0.00133% | 1596   |  0.051% | 1199   |  0.049% | 
| 271  | Shelmet            |  0.00129% | 163    |  0.005% | 121    |  0.005% | 
| 272  | Whiscash           |  0.00126% | 1801   |  0.058% | 1364   |  0.056% | 
| 273  | Duosion            |  0.00124% | 341    |  0.011% | 239    |  0.010% | 
| 274  | Farfetch'd         |  0.00122% | 696    |  0.022% | 507    |  0.021% | 
| 275  | Goldeen            |  0.00116% | 101    |  0.003% | 67     |  0.003% | 
| 276  | Swinub             |  0.00114% | 287    |  0.009% | 218    |  0.009% | 
| 277  | Mudbray            |  0.00106% | 41     |  0.001% | 36     |  0.001% | 
| 278  | Jangmo-o           |  0.00102% | 32     |  0.001% | 20     |  0.001% | 
| 279  | Delibird           |  0.00097% | 1246   |  0.040% | 958    |  0.039% | 
| 280  | Garbodor           |  0.00095% | 3807   |  0.123% | 2909   |  0.119% | 
| 281  | Dwebble            |  0.00095% | 274    |  0.009% | 216    |  0.009% | 
| 282  | Torracat           |  0.00085% | 516    |  0.017% | 436    |  0.018% | 
| 283  | Solrock            |  0.00085% | 1274   |  0.041% | 1011   |  0.041% | 
| 284  | Charjabug          |  0.00083% | 641    |  0.021% | 570    |  0.023% | 
| 285  | Haunter            |  0.00082% | 1953   |  0.063% | 1518   |  0.062% | 
| 286  | Cosmoem            |  0.00077% | 294    |  0.009% | 238    |  0.010% | 
| 287  | Dottler            |  0.00076% | 487    |  0.016% | 394    |  0.016% | 
| 288  | Raboot             |  0.00065% | 362    |  0.012% | 290    |  0.012% | 
